episode,steps,total_reward,final_score,hard_violations,coverage_shortage,time,epsilon,loss
163,200,131.00,-2560.00,94,286,193.3,0.000,0.1643
164,200,153.00,-2698.00,115,271,194.5,0.000,0.0214
165,200,330.00,-2778.00,119,277,195.7,0.000,0.2724
166,200,139.00,-2787.00,121,279,196.8,0.000,0.5474
167,200,134.00,-2721.00,102,302,198.1,0.000,-0.0370
168,200,237.00,-2560.00,103,271,199.3,0.000,0.0935
169,200,197.00,-2726.00,114,279,200.4,0.000,1.3247
170,200,180.00,-2679.00,107,285,201.6,0.000,0.6464
171,200,180.00,-2709.00,128,250,202.9,0.000,0.2703
172,200,227.00,-2734.00,127,256,204.1,0.000,0.1732
173,200,56.00,-2778.00,125,265,205.4,0.000,-0.0387
174,200,196.00,-2674.00,117,262,206.5,0.000,-0.3009
175,200,185.00,-2642.00,112,267,207.7,0.000,-0.0260
176,200,284.00,-2673.00,121,255,208.9,0.000,1.5614
177,200,260.00,-2791.00,129,261,210.1,0.000,0.7373
178,200,85.00,-2678.00,122,254,211.2,0.000,0.2104
179,200,72.00,-2614.00,106,274,212.3,0.000,-0.3315
180,200,236.00,-2677.00,118,259,213.4,0.000,0.3104
181,200,120.00,-2605.00,122,239,214.5,0.000,-0.0627
182,200,151.00,-2812.00,132,260,215.6,0.000,0.2703
183,200,147.00,-2825.00,135,257,216.7,0.000,0.0369
184,200,72.00,-2703.00,125,251,217.9,0.000,-0.2432
185,200,44.00,-2840.00,140,249,219.0,0.000,0.0695
186,200,-63.00,-2760.00,117,277,220.1,0.000,0.4045
187,200,210.00,-2571.00,103,269,221.4,0.000,0.3244
188,200,76.00,-2662.00,119,256,222.4,0.000,0.4128
189,200,297.00,-2766.00,136,241,223.5,0.000,1.1740
190,200,134.00,-2643.00,116,259,224.6,0.000,0.6046
191,200,143.00,-2668.00,126,241,225.7,0.000,0.3881
192,200,82.00,-2860.00,138,256,226.8,0.000,-0.1058
193,200,27.00,-2820.00,134,257,227.8,0.000,-0.0735
194,200,117.00,-2643.00,124,244,229.0,0.000,0.0481
195,200,42.00,-2880.00,136,264,230.1,0.000,0.7090
196,200,92.00,-2709.00,121,262,231.2,0.000,0.2963
197,200,105.00,-2780.00,136,246,232.3,0.000,0.4833
198,200,177.00,-2699.00,121,263,233.4,0.000,0.2644
199,200,102.00,-2591.00,102,277,234.5,0.000,-0.0321
200,200,67.00,-2782.00,123,271,235.7,0.000,0.0176
