episode,steps,total_reward,final_score,hard_violations,coverage_shortage,time,epsilon,loss
216,200,74.00,-2614.00,182,120,76.2,0.300,0.0000
217,200,130.00,-2804.00,188,145,76.5,0.300,0.0000
218,200,-22.00,-2825.00,218,89,76.9,0.300,0.0000
219,200,40.00,-2757.00,198,117,77.2,0.300,0.0000
220,200,82.00,-2792.00,179,161,77.6,0.300,0.0000
221,200,-13.00,-3094.00,221,134,78.0,0.300,0.0000
222,200,-113.00,-2786.00,204,108,78.3,0.300,0.0000
223,200,-93.00,-2841.00,203,122,78.7,0.300,0.0000
224,200,-18.00,-2806.00,191,139,79.0,0.300,0.0000
225,200,10.00,-2719.00,191,123,79.4,0.300,0.0000
226,200,29.00,-2627.00,174,136,79.7,0.300,0.0000
227,200,-77.00,-2960.00,183,186,80.1,0.300,0.0000
228,200,-32.00,-2744.00,191,128,80.4,0.300,0.0000
229,200,-8.00,-2518.00,176,113,80.8,0.300,0.0000
230,200,-55.00,-2944.00,210,129,81.1,0.300,0.0000
231,200,60.00,-2936.00,209,129,81.5,0.300,0.0000
232,200,20.00,-2587.00,170,139,81.8,0.300,0.0000
233,200,92.00,-2772.00,190,136,82.2,0.300,0.0000
234,200,15.00,-2821.00,217,89,82.5,0.300,0.0000
235,200,-29.00,-2974.00,201,150,82.9,0.300,0.0000
236,200,-62.00,-3023.00,203,159,83.2,0.300,0.0000
237,200,160.00,-2573.00,190,93,83.6,0.300,0.0000
238,200,-75.00,-2859.00,207,116,83.9,0.300,0.0000
239,200,-89.00,-2903.00,217,108,84.3,0.300,0.0000
240,200,62.00,-2704.00,184,131,84.6,0.300,0.0000
241,200,49.00,-2870.00,205,124,85.0,0.300,0.0000
242,200,82.00,-2803.00,189,143,85.4,0.300,0.0000
243,200,-18.00,-2731.00,178,149,85.7,0.300,0.0000
244,200,-16.00,-2865.00,201,130,86.1,0.300,0.0000
245,200,-32.00,-2813.00,207,111,86.4,0.300,0.0000
246,200,129.00,-2857.00,210,112,86.8,0.300,0.0000
247,200,9.00,-2891.00,210,120,87.1,0.300,0.0000
248,200,30.00,-2844.00,166,196,87.5,0.300,0.0000
249,200,149.00,-2953.00,211,127,87.8,0.300,0.0000
250,200,48.00,-2786.00,175,170,88.2,0.300,0.0000
251,200,168.00,-2658.00,185,122,88.5,0.300,0.0000
252,200,-4.00,-2820.00,195,134,88.9,0.300,0.0000
253,200,68.00,-2821.00,193,139,89.2,0.300,0.0000
254,200,-30.00,-2756.00,183,147,89.6,0.300,0.0000
255,200,18.00,-2720.00,201,102,89.9,0.300,0.0000
256,200,114.00,-2726.00,187,129,90.3,0.300,0.0000
257,200,167.00,-2612.00,158,166,90.6,0.300,0.0000
258,200,26.00,-2847.00,205,119,91.0,0.300,0.0000
259,200,-102.00,-2828.00,211,103,91.3,0.300,0.0000
260,200,95.00,-2749.00,190,130,91.7,0.300,0.0000
261,200,-5.00,-2869.00,204,129,92.0,0.300,0.0000
262,200,110.00,-2798.00,189,142,92.4,0.300,0.0000
263,200,-157.00,-2854.00,199,133,92.7,0.300,0.0000
264,200,-39.00,-2710.00,199,105,93.1,0.300,0.0000
265,200,7.00,-2718.00,184,138,93.4,0.300,0.0000
266,200,16.00,-2648.00,189,113,93.8,0.300,0.0000
267,200,-113.00,-2863.00,210,112,94.1,0.300,0.0000
268,200,-39.00,-2914.00,199,146,94.5,0.300,0.0000
269,200,-37.00,-2786.00,207,105,94.8,0.300,0.0000
270,200,9.00,-3129.00,203,180,95.2,0.300,0.0000
271,200,-9.00,-2582.00,178,121,95.5,0.300,0.0000
272,200,58.00,-2771.00,176,163,95.9,0.300,0.0000
273,200,1.00,-2840.00,199,131,96.2,0.300,0.0000
274,200,-73.00,-2850.00,206,120,96.6,0.300,0.0000
275,200,-33.00,-2945.00,208,131,96.9,0.300,0.0000
276,200,13.00,-2782.00,174,170,97.3,0.300,0.0000
277,200,100.00,-2872.00,191,153,97.6,0.300,0.0000
278,200,-55.00,-2778.00,190,135,98.0,0.300,0.0000
279,200,-41.00,-2907.00,195,154,98.3,0.300,0.0000
280,200,12.00,-2655.00,173,147,98.7,0.300,0.0000
281,200,-41.00,-2861.00,213,105,99.0,0.300,0.0000
282,200,-102.00,-2841.00,202,125,99.4,0.300,0.0000
283,200,-32.00,-2776.00,180,156,99.7,0.300,0.0000
284,200,-35.00,-2785.00,201,117,100.1,0.300,0.0000
285,200,66.00,-2761.00,198,116,100.4,0.300,0.0000
286,200,-47.00,-2918.00,201,142,100.8,0.300,0.0000
287,200,37.00,-2886.00,202,133,101.1,0.300,0.0000
288,200,9.00,-2825.00,172,182,101.5,0.300,0.0000
289,200,-17.00,-2971.00,204,147,101.8,0.300,0.0000
290,200,-47.00,-2830.00,195,136,102.2,0.300,0.0000
291,200,79.00,-2644.00,178,132,102.5,0.300,0.0000
292,200,-78.00,-2914.00,221,100,102.9,0.300,0.0000
293,200,-23.00,-2645.00,184,123,103.2,0.300,0.0000
294,200,-14.00,-2904.00,217,106,103.6,0.300,0.0000
295,200,119.00,-2830.00,158,212,103.9,0.300,0.0000
296,200,138.00,-2564.00,150,174,104.3,0.300,0.0000
297,200,-99.00,-2886.00,209,119,104.6,0.300,0.0000
298,200,-12.00,-2756.00,182,147,105.0,0.300,0.0000
299,200,72.00,-2710.00,184,136,105.3,0.300,0.0000
300,200,-23.00,-2851.00,219,93,105.7,0.300,0.0000
301,200,75.00,-2838.00,203,122,106.0,0.300,0.0000
302,200,-7.00,-2908.00,208,126,106.4,0.300,0.0000
303,200,40.00,-2731.00,199,110,106.7,0.300,0.0000
304,200,240.00,-2707.00,173,157,107.1,0.300,0.0000
305,200,177.00,-2811.00,203,115,107.4,0.300,0.0000
306,200,24.00,-2781.00,188,140,107.8,0.300,0.0000
307,200,9.00,-2858.00,204,125,108.1,0.300,0.0000
308,200,73.00,-2849.00,210,110,108.5,0.300,0.0000
309,200,-30.00,-2800.00,193,133,108.8,0.300,0.0000
310,200,168.00,-2671.00,157,182,109.2,0.300,0.0000
311,200,115.00,-2720.00,201,104,109.5,0.300,0.0000
312,200,86.00,-2743.00,184,139,109.9,0.300,0.0000
313,200,11.00,-3061.00,216,139,110.2,0.300,0.0000
314,200,42.00,-2685.00,186,123,110.6,0.300,0.0000
315,200,-31.00,-2808.00,205,114,110.9,0.300,0.0000
316,200,34.00,-2821.00,195,136,111.3,0.300,0.0000
